,Wikipedia_Article,path
10,/wiki/Cloud_computing,"['/wiki/Cloud_computing', '/wiki/International_Organization_for_Standardization', '/wiki/Non-governmental_organization', '/wiki/Nonprofit_organization', '/wiki/Profit_(accounting)', '/wiki/Accounting', '/wiki/Economic_entity', '/wiki/Generally_accepted_accounting_principles', '/wiki/Cash_method_of_accounting', '/wiki/Basis_of_accounting', '/wiki/Accounting']"
11,/wiki/Cybersecurity,"['/wiki/Cybersecurity', '/wiki/Computer_software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
12,/wiki/Quantum_computing,"['/wiki/Quantum_computing', '/wiki/Computer', '/wiki/Machine', '/wiki/Power_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
13,/wiki/Internet_of_things,"['/wiki/Internet_of_things', '/wiki/Sensor', '/wiki/Micromachinery', '/wiki/Mechanics', '/wiki/Physics', '/wiki/Scientific', '/wiki/Scientific_method', '/wiki/Empirical_evidence', '/wiki/Evidence', '/wiki/Proposition', '/wiki/Philosophy_of_language', '/wiki/Philosophy']"
14,/wiki/Blockchain,"['/wiki/Blockchain', '/wiki/Distributed_ledger', '/wiki/Data', '/wiki/Value_(semiotics)', '/wiki/Semiotics', '/wiki/Semiosis', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
15,/wiki/Cryptocurrency,"['/wiki/Cryptocurrency', '/wiki/Digital_currency', '/wiki/Currency', '/wiki/Money', '/wiki/Payment', '/wiki/Value_(economics)', '/wiki/Economics', '/wiki/Social_science', '/wiki/Branches_of_science', '/wiki/Science', '/wiki/Scientific_method', '/wiki/Empirical_evidence', '/wiki/Evidence', '/wiki/Proposition', '/wiki/Philosophy_of_language', '/wiki/Philosophy']"
16,/wiki/Virtual_reality,"['/wiki/Virtual_reality', '/wiki/Simulation', '/wiki/Model', '/wiki/Plan_(drawing)', '/wiki/Technical_drawing', '/wiki/Visual_communication', '/wiki/Signage', '/wiki/Symbol', '/wiki/Sign_(semiotics)', '/wiki/Semiotics', '/wiki/Semiosis', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
17,/wiki/Augmented_reality,"['/wiki/Augmented_reality', '/wiki/Modality_(human%E2%80%93computer_interaction)', '/wiki/Human%E2%80%93computer_interaction', '/wiki/Computing', '/wiki/Computer', '/wiki/Machine', '/wiki/Power_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
18,/wiki/Software_engineering,"['/wiki/Software_engineering', '/wiki/Computer_science', '/wiki/Computation', '/wiki/Arithmetic', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
19,/wiki/Operating_system,"['/wiki/Operating_system', '/wiki/System_software', '/wiki/Software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
20,/wiki/Computer_network,"['/wiki/Computer_network', '/wiki/Computer', '/wiki/Machine', '/wiki/Power_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
21,/wiki/Database,"['/wiki/Database', '/wiki/Computing', '/wiki/Computer', '/wiki/Machine', '/wiki/Power_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
22,/wiki/Algorithm,"['/wiki/Algorithm', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
23,/wiki/Data_structure,"['/wiki/Data_structure', '/wiki/Computer_science', '/wiki/Computation', '/wiki/Arithmetic', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
24,/wiki/Programming_language,"['/wiki/Programming_language', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
25,/wiki/Java_(programming_language),"['/wiki/Java_(programming_language)', '/wiki/High-level_programming_language', '/wiki/Programming_language', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
26,/wiki/JavaScript,"['/wiki/JavaScript', '/wiki/Programming_language', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
27,/wiki/C_(programming_language),"['/wiki/C_(programming_language)', '/wiki/General-purpose_programming_language', '/wiki/Computer_software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
28,/wiki/C%2B%2B,"['/wiki/C%2B%2B', '/wiki/High-level_programming_language', '/wiki/Programming_language', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
29,/wiki/C_Sharp_(programming_language),"['/wiki/C_Sharp_(programming_language)', '/wiki/General-purpose_programming_language', '/wiki/Computer_software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
30,/wiki/Swift_(programming_language),"['/wiki/Swift_(programming_language)', '/wiki/High-level_programming_language', '/wiki/Programming_language', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
31,/wiki/Kotlin_(programming_language),"['/wiki/Kotlin_(programming_language)', '/wiki/Cross-platform_software', '/wiki/Computing', '/wiki/Computer', '/wiki/Machine', '/wiki/Power_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
32,/wiki/Rust_(programming_language),"['/wiki/Rust_(programming_language)', '/wiki/General-purpose_programming_language', '/wiki/Computer_software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
33,/wiki/Go_(programming_language),"['/wiki/Go_(programming_language)', '/wiki/High-level_programming_language', '/wiki/Programming_language', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
34,/wiki/PHP,"['/wiki/PHP', '/wiki/General-purpose_programming_language', '/wiki/Computer_software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
35,/wiki/R_(programming_language),"['/wiki/R_(programming_language)', '/wiki/Programming_language', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
36,/wiki/SQL,"['/wiki/SQL', '/wiki/Domain-specific_language', '/wiki/Computer_language', '/wiki/Formal_language', '/wiki/Logic', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
37,/wiki/NoSQL,"['/wiki/NoSQL', '/wiki/Database', '/wiki/Computing', '/wiki/Computer', '/wiki/Machine', '/wiki/Power_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
38,/wiki/Software_testing,"['/wiki/Software_testing', '/wiki/Software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
39,/wiki/DevOps,"['/wiki/DevOps', '/wiki/Software_development', '/wiki/Designing', '/wiki/Process', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
40,/wiki/Continuous_integration,"['/wiki/Continuous_integration', '/wiki/Source_code', '/wiki/Computing', '/wiki/Computer', '/wiki/Machine', '/wiki/Power_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
41,/wiki/Continuous_delivery,"['/wiki/Continuous_delivery', '/wiki/Software_engineering', '/wiki/Computer_science', '/wiki/Computation', '/wiki/Arithmetic', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
42,/wiki/Microservices,"['/wiki/Microservices', '/wiki/Native_cloud_application', '/wiki/Amazon_EC2', '/wiki/Amazon_(company)', '/wiki/Doing_business_as', '/wiki/Pseudonym', '/wiki/Anonymity', '/wiki/Privacy', '/wiki/Information', '/wiki/Abstraction', '/wiki/Rule_of_inference', '/wiki/Philosophy_of_logic', '/wiki/Philosophy']"
43,/wiki/Docker_(software),"['/wiki/Docker_(software)', '/wiki/Platform_as_a_service', '/wiki/Cloud_computing#Service_models', '/wiki/International_Organization_for_Standardization', '/wiki/Non-governmental_organization', '/wiki/Nonprofit_organization', '/wiki/Profit_(accounting)', '/wiki/Accounting', '/wiki/Economic_entity', '/wiki/Generally_accepted_accounting_principles', '/wiki/Cash_method_of_accounting', '/wiki/Basis_of_accounting', '/wiki/Accounting']"
44,/wiki/Kubernetes,"['/wiki/Kubernetes', '/wiki/Open-source_software', '/wiki/Software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
45,/wiki/Cloud_native_computing,"['/wiki/Cloud_native_computing', '/wiki/Software_development', '/wiki/Designing', '/wiki/Process', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
46,/wiki/Serverless_computing,"['/wiki/Serverless_computing', '/wiki/International_Organization_for_Standardization', '/wiki/Non-governmental_organization', '/wiki/Nonprofit_organization', '/wiki/Profit_(accounting)', '/wiki/Accounting', '/wiki/Economic_entity', '/wiki/Generally_accepted_accounting_principles', '/wiki/Cash_method_of_accounting', '/wiki/Basis_of_accounting', '/wiki/Accounting']"
47,/wiki/Edge_computing,"['/wiki/Edge_computing', '/wiki/Latency_(engineering)', '/wiki/Causality', '/wiki/Event_(philosophy)', '/wiki/Philosophy']"
48,/wiki/5G,"['/wiki/5G', '/wiki/Telecommunications', '/wiki/Communication_channel', '/wiki/Transmission_medium', '/wiki/Wave_propagation', '/wiki/Physics', '/wiki/Scientific', '/wiki/Scientific_method', '/wiki/Empirical_evidence', '/wiki/Evidence', '/wiki/Proposition', '/wiki/Philosophy_of_language', '/wiki/Philosophy']"
49,/wiki/Wireless_network,"['/wiki/Wireless_network', '/wiki/Computer_network', '/wiki/Computer', '/wiki/Machine', '/wiki/Power_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
50,/wiki/Artificial_general_intelligence,"['/wiki/Artificial_general_intelligence', '/wiki/Artificial_intelligence', '/wiki/Intelligence', '/wiki/Abstraction', '/wiki/Rule_of_inference', '/wiki/Philosophy_of_logic', '/wiki/Philosophy']"
51,/wiki/Superintelligence,"['/wiki/Superintelligence', '/wiki/Intelligent_agent', '/wiki/Artificial_intelligence', '/wiki/Intelligence', '/wiki/Abstraction', '/wiki/Rule_of_inference', '/wiki/Philosophy_of_logic', '/wiki/Philosophy']"
52,/wiki/Computer_graphics,"['/wiki/Computer_graphics', '/wiki/Image', '/wiki/Two-dimensional_space', '/wiki/Mathematical_space', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
53,/wiki/Game_development,"['/wiki/Game_development', '/wiki/Video_game', '/wiki/Electronic_game', '/wiki/Game', '/wiki/Play_(activity)', '/wiki/Motivation#Intrinsic_and_extrinsic', '/wiki/Mental_state', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
54,/wiki/Unreal_Engine,"['/wiki/Unreal_Engine', '/wiki/Game_engine', '/wiki/Software_framework', '/wiki/Computer_programming', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
55,/wiki/Unity_(game_engine),"['/wiki/Unity_(game_engine)', '/wiki/Cross-platform', '/wiki/Computing', '/wiki/Computer', '/wiki/Machine', '/wiki/Power_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
56,/wiki/OpenGL,"['/wiki/OpenGL', '/wiki/Language-independent_specification', '/wiki/Programming_language_specification', '/wiki/Computer_programming', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
57,/wiki/Vulkan_(API),"['/wiki/Vulkan_(API)', '/wiki/Overhead_(computing)', '/wiki/Engineering_overhead', '/wiki/Engineering', '/wiki/Natural_science', '/wiki/Branches_of_science', '/wiki/Science', '/wiki/Scientific_method', '/wiki/Empirical_evidence', '/wiki/Evidence', '/wiki/Proposition', '/wiki/Philosophy_of_language', '/wiki/Philosophy']"
58,/wiki/Web_development,"['/wiki/Web_development', '/wiki/Web_site', '/wiki/Web_page', '/wiki/World_Wide_Web', '/wiki/Information_system', '/wiki/Sociotechnical', '/wiki/Organizational_development', '/wiki/Organizational_change', '/wiki/Human_behavior', '/wiki/Human', '/wiki/Species', '/wiki/Organism', '/wiki/Life', '/wiki/Matter', '/wiki/Classical_physics', '/wiki/Physics', '/wiki/Scientific', '/wiki/Scientific_method', '/wiki/Empirical_evidence', '/wiki/Evidence', '/wiki/Proposition', '/wiki/Philosophy_of_language', '/wiki/Philosophy']"
59,/wiki/Frontend_and_backend,"['/wiki/Frontend_and_backend', '/wiki/Software_development', '/wiki/Designing', '/wiki/Process', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
60,/wiki/React_(JavaScript_library),"['/wiki/React_(JavaScript_library)', '/wiki/Free_and_open-source_software', '/wiki/Software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
61,/wiki/Angular_(web_framework),"['/wiki/Angular_(web_framework)', '/wiki/TypeScript', '/wiki/Free_and_open-source', '/wiki/Software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
62,/wiki/Vue.js,"['/wiki/Vue.js', '/wiki/Model%E2%80%93view%E2%80%93viewmodel', '/wiki/Architectural_pattern', '/wiki/List_of_software_architecture_styles_and_patterns', '/wiki/Software_design_pattern', '/wiki/Software_engineering', '/wiki/Computer_science', '/wiki/Computation', '/wiki/Arithmetic', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
63,/wiki/Node.js,"['/wiki/Node.js', '/wiki/Cross-platform', '/wiki/Computing', '/wiki/Computer', '/wiki/Machine', '/wiki/Power_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
64,/wiki/Express.js,"['/wiki/Express.js', '/wiki/Front_end_and_back_end', '/wiki/Software_development', '/wiki/Designing', '/wiki/Process', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
65,/wiki/Django_(web_framework),"['/wiki/Django_(web_framework)', '/wiki/Free_and_open-source_software', '/wiki/Software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
66,/wiki/Flask_(web_framework),"['/wiki/Flask_(web_framework)', '/wiki/Web_framework', '/wiki/Software_framework', '/wiki/Computer_programming', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
67,/wiki/Ruby_on_Rails,"['/wiki/Ruby_on_Rails', '/wiki/Server-side', '/wiki/Distributed_application', '/wiki/Computer_science', '/wiki/Computation', '/wiki/Arithmetic', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
68,/wiki/ASP.NET,"['/wiki/ASP.NET', '/wiki/Server-side_scripting', '/wiki/Web_development', '/wiki/Web_site', '/wiki/Web_page', '/wiki/World_Wide_Web', '/wiki/Information_system', '/wiki/Sociotechnical', '/wiki/Organizational_development', '/wiki/Organizational_change', '/wiki/Human_behavior', '/wiki/Human', '/wiki/Species', '/wiki/Organism', '/wiki/Life', '/wiki/Matter', '/wiki/Classical_physics', '/wiki/Physics', '/wiki/Scientific', '/wiki/Scientific_method', '/wiki/Empirical_evidence', '/wiki/Evidence', '/wiki/Proposition', '/wiki/Philosophy_of_language', '/wiki/Philosophy']"
69,/wiki/GraphQL,"['/wiki/GraphQL', '/wiki/Query_language', '/wiki/Computer_language', '/wiki/Formal_language', '/wiki/Logic', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
70,/wiki/RESTful_API,"['/wiki/RESTful_API', '/wiki/Software_architectural_style', '/wiki/Software_system', '/wiki/System', '/wiki/Open_system_(systems_theory)', '/wiki/Isolated_system', '/wiki/Outline_of_physical_science', '/wiki/Natural_science', '/wiki/Branches_of_science', '/wiki/Science', '/wiki/Scientific_method', '/wiki/Empirical_evidence', '/wiki/Evidence', '/wiki/Proposition', '/wiki/Philosophy_of_language', '/wiki/Philosophy']"
71,/wiki/Web_scraping,"['/wiki/Web_scraping', '/wiki/Data_scraping', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
72,/wiki/Selenium_(software),"['/wiki/Selenium_(software)', '/wiki/Open_source', '/wiki/Source_code', '/wiki/Computing', '/wiki/Computer', '/wiki/Machine', '/wiki/Power_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
73,/wiki/Beautiful_Soup_(HTML_parser),"['/wiki/Beautiful_Soup_(HTML_parser)', '/wiki/Python_(programming_language)', '/wiki/High-level_programming_language', '/wiki/Programming_language', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
74,/wiki/Scrapy,"['/wiki/Scrapy', '/wiki/Free_and_open-source', '/wiki/Software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
75,/wiki/Data_mining,"['/wiki/Data_mining', '/wiki/Data_set', '/wiki/Data', '/wiki/Value_(semiotics)', '/wiki/Semiotics', '/wiki/Semiosis', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
76,/wiki/BigQuery,"['/wiki/BigQuery', '/wiki/Serverless', '/wiki/International_Organization_for_Standardization', '/wiki/Non-governmental_organization', '/wiki/Nonprofit_organization', '/wiki/Profit_(accounting)', '/wiki/Accounting', '/wiki/Economic_entity', '/wiki/Generally_accepted_accounting_principles', '/wiki/Cash_method_of_accounting', '/wiki/Basis_of_accounting', '/wiki/Accounting']"
77,/wiki/Spark_(software),"['/wiki/Spark_(software)', None]"
78,/wiki/Hadoop,"['/wiki/Hadoop', '/wiki/Open-source_software', '/wiki/Software', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
